Time Stamp,ID,Extended,Remote Frame,DLC,D1,D2,D3,D4,D5,D6,D7,D8
9778,193,0,0,8,16,0,0,0,16,0,0,0
9779,313,0,0,8,0,64,0,0,0,0,0,0
9780,197,0,0,8,16,0,0,0,16,3,187,62
9791,398,0,0,8,0,0,0,99,134,57,6,57
9792,209,0,0,7,0,0,0,0,0,0,0,0
9792,426,0,0,7,0,99,134,106,99,128,0,0
9793,454,0,0,8,41,134,50,48,0,3,55,64
9804,451,0,0,8,6,56,7,162,255,48,0,1
9805,493,0,0,8,1,169,0,0,0,0,71,87
9805,386,0,0,8,142,244,1,0,0,0,0,0
9806,761,0,0,7,43,0,0,8,0,0,49,0
9807,810,0,0,8,6,141,204,189,107,2,0,142
9818,442,0,0,8,7,162,122,38,160,122,40,150
9818,452,0,0,8,109,98,194,27,6,0,3,253
9819,479,0,0,3,0,0,0,0,0,0,0,0
9830,199,0,0,4,0,0,0,0,0,0,0,0
9830,249,0,0,8,0,0,64,0,0,0,0,5
9831,193,0,0,8,16,0,0,0,16,0,0,0
9832,497,0,0,8,174,10,0,0,8,0,0,122
9833,460,0,0,5,0,0,0,0,0,0,0,0
9844,451,0,0,8,6,56,7,163,255,16,0,3
9844,452,0,0,8,0,98,194,27,0,0,0,0
9845,479,0,0,3,0,0,0,0,0,0,0,0
9845,969,0,0,8,7,6,0,0,0,0,0,0
9856,249,0,0,8,0,0,64,0,0,0,0,5
9857,199,0,0,4,0,0,0,0,0,0,0,0
9858,249,0,0,8,0,0,64,0,0,0,0,5
9858,481,0,0,7,0,0,0,0,2,24,208,0
9859,193,0,0,8,0,0,0,0,0,0,0,0
9870,647,0,0,5,130,0,0,8,143,0,0,0
9871,613,0,0,8,248,0,0,128,0,0,0,0
9871,1233,0,0,8,0,0,0,3,19,70,0,0
9872,193,0,0,8,16,0,0,0,16,0,0,0
9883,209,0,0,7,0,0,0,0,0,0,0,0
9883,311,0,0,8,13,1,238,212,11,123,92,9
9884,1920,0,0,7,0,0,0,0,0,0,0,0
9885,481,0,0,7,0,0,0,0,3,28,192,0
9896,241,0,0,6,40,6,0,65,243,253,0,0
9896,707,0,0,8,6,56,7,163,0,0,193,16
9897,462,0,0,4,24,0,7,253,0,0,0,0
9897,422,0,0,4,68,6,160,0,0,0,0,0
9908,241,0,0,6,52,7,0,65,241,252,0,0
9909,193,0,0,8,16,0,0,0,16,0,0,0
9910,197,0,0,8,16,0,0,0,16,3,187,62
9910,481,0,0,7,0,0,0,0,0,16,240,0
9911,209,0,0,7,0,0,0,0,0,0,0,0
9922,241,0,0,6,28,6,0,65,243,254,0,0
9922,209,0,0,7,64,0,127,255,0,255,0,0
9923,489,0,0,8,0,0,0,14,175,249,0,0
9924,431,0,0,8,32,0,0,16,0,0,0,255
9935,328,0,0,1,0,0,0,0,0,0,0,0
9935,462,0,0,4,8,0,7,255,0,0,0,0
9936,1105,0,0,6,0,0,0,0,255,0,0,0
9936,241,0,0,6,52,7,0,65,241,252,0,0
9947,170,0,0,8,41,211,49,104,4,78,150,0
9948,431,0,0,8,32,0,0,16,0,0,0,255
9948,501,0,0,8,15,15,0,1,0,0,3,0
9949,193,0,0,8,16,0,0,0,16,0,0,0
9960,197,0,0,8,16,0,0,0,16,3,187,62
9961,193,0,0,8,32,0,0,0,32,0,0,0
9962,197,0,0,8,32,0,0,0,32,3,187,62
9962,209,0,0,7,64,0,127,255,0,255,0,0
9973,840,0,0,5,0,0,0,0,27,0,0,0
9973,431,0,0,8,32,0,0,16,0,0,0,255
9974,844,0,0,8,250,150,31,249,3,243,0,0
9974,462,0,0,4,24,0,7,253,0,0,0,0
9985,510,0,0,8,6,110,143,1,0,0,193,91
9986,241,0,0,6,0,7,0,65,241,255,0,0
9986,170,0,0,8,41,211,49,104,4,78,150,0
9987,1005,0,0,6,0,0,0,0,0,255,0,0
9998,190,0,0,6,4,1,0,4,227,254,0,0
9998,241,0,0,6,28,7,0,65,241,254,0,0
9999,193,0,0,8,32,0,0,0,32,0,0,0
10000,197,0,0,8,32,0,0,0,32,3,187,62
10011,481,0,0,7,0,0,0,0,3,28,192,0
10011,193,0,0,8,48,0,0,0,48,0,0,0
10012,209,0,0,7,128,0,191,254,0,254,0,0
10012,840,0,0,5,0,0,0,0,27,0,0,0
10023,463,0,0,3,0,0,5,0,0,0,0,0
